Title,Author,Length,User-Agent
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 23 hrs and 59 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Fellowship of the Ring,J. R.R. Tolkien,Length: 19 hrs and 53 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Mansfield Park,Jane Austen,Length: 14 hrs and 45 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The 13th Paladin Boxed Set,"Torsten Weitze,Tim Casey - translator",Length: 43 hrs and 57 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Body in the Marsh,Nick Louth,Length: 12 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Haunting of Starlight Manor,"Vincent Valentean,Marie Wilkens,Clay Wise",Length: 32 hrs and 21 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
"The Secret Diary of Adrian Mole, Aged 13 3/4",Sue Townsend,Length: 5 hrs and 16 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Gideon the Ninth,Tamsyn Muir,Length: 16 hrs and 50 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
East of Eden,"John Steinbeck,David Wyatt - introduction",Length: 26 hrs and 43 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
House of Flame and Shadows (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 12 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 29 hrs and 1 min,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Little Lady Agency,Hester Browne,Length: 13 hrs and 30 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
A Kingdom of Flesh and Fire (Part 2 of 2) (Dramatized Adaptation),Jennifer L. Armentrout,Length: 9 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Medieval Myths & Mysteries,"Dorsey Armstrong,The Great Courses",Length: 5 hrs and 6 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Rise of the Weakest Summoner: Volume X,J.R. Saileri,Length: 17 hrs and 39 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Salt in the Wounds,Mark Richards,Length: 8 hrs and 45 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Round the Horne: The Complete Series Four,Barry Took,Length: 9 hrs and 14 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Me Before You,Jojo Moyes,Length: 16 hrs and 37 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
How to Sell Like Crazy on Facebook Marketplace (2024 Edition),Chika Njoku,Length: 1 hr and 6 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
A Court of Wings and Ruin,Sarah J. Maas,Length: 25 hrs and 9 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Length: 20 hrs and 54 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Year of Magical Thinking,Joan Didion,Length: 1 hr and 28 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Wild Side,Elsie Silver,Length: 12 hrs and 17 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
How to Stop Being Toxic,Thomas Ruggerio,Length: 4 hrs and 45 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Last Devil to Die,Richard Osman,Length: 10 hrs and 51 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Phantom,Elle Menard,Length: 7 hrs and 56 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
David Copperfield,Charles Dickens,Length: 34 hrs and 33 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Yes Minister & Yes Prime Minister - The Complete Audio Collection,"Antony Jay,Jonathan Lynn",Length: 18 hrs and 28 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Cartel,A P Bateman,Length: 7 hrs and 40 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Fae and Fare,pirateaba,Length: 61 hrs and 4 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Pride and Prejudice [Audible Studios],Jane Austen,Length: 12 hrs and 3 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Bible for Dummies,"Jeffrey Geoghegan,Michael Homan",Length: 18 hrs and 53 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Nazi Mind,Laurence Rees,Length: 14 hrs and 19 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Summer Secrets at Duck Pond Cottage,Della Galton,Length: 8 hrs and 36 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Never Flinch,Stephen King,Length: 10 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Middlemarch,George Eliot,Length: 32 hrs and 23 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The First World War,Martin Gilbert,Length: 33 hrs and 34 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Sherlock Holmes: The Complete BBC Collection,"Arthur Conan Doyle,Bert Coules",Length: 48 hrs and 33 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Mists of Avalon,Marion Zimmer Bradley,Length: 50 hrs and 53 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Suspect,Michael Robotham,Length: 12 hrs and 43 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Charlie Method,Elle Kennedy,Length: 15 hrs and 41 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Charlie Method,Elle Kennedy,Length: 15 hrs and 41 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 20 hrs and 31 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Selfish Giant,Oscar Wilde,Length: 11 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Mockingbird,Steve McElhenny,Length: 2 hrs and 40 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Life in the Pitlane,Calum Nicholas,Length: 6 hrs and 32 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Missing,K. L. Slater,Length: 10 hrs and 34 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Ash Lake Murders,Helen H. Durrant,Length: 7 hrs and 44 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Ghost Stories: Stephen Fry's Definitive Collection,"Stephen Fry,Washington Irving,M.R. James,Amelia B. Edwards,Robert Louis Stevenson,Algernon Blackwood,Edgar Allan Poe,Charlotte Riddell,Bram Stoker",Length: 8 hrs and 18 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Pema Chodron Audio Collection,Pema Chödrön,Length: 7 hrs and 4 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
A Storm of Swords,George R.R. Martin,Length: 47 hrs and 32 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
My Perfect Daughter,Sarah Denzil,Length: 9 hrs and 58 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
A Court of Mist and Fury,Sarah J. Maas,Length: 23 hrs and 16 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
A Darker Shade of Magic,V. E. Schwab,Length: 11 hrs and 34 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Well of Ascension,Brandon Sanderson,Length: 29 hrs and 17 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Anna Karenina,Leo Tolstoy,Length: 35 hrs and 35 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Troubled Blood,Robert Galbraith,Length: 31 hrs and 51 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Rebel World,B.V. Larson,Length: 13 hrs and 36 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Jane Austen Collection,Jane Austen,Length: 45 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Theft of Swords,Michael J. Sullivan,Length: 22 hrs and 38 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Unnatural Causes,Dr Richard Shepherd,Length: 11 hrs and 46 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Anne of Green Gables,Lucy Maud Montgomery,Length: 9 hrs and 22 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
A Demon's Horns,Marie Mistry,Length: 12 hrs and 38 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
My Pucking Crush,"Tori Chase,Deborah Garland",Length: 8 hrs and 28 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Not That Kind of Girl,Lena Dunham,Length: 6 hrs and 9 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Heresy,S. J. Parris,Length: 14 hrs and 52 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Athens,Bruce Clark,Length: 19 hrs and 56 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Barn,"Rachel McLean,Joel Hames",Length: 7 hrs and 45 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Unruly,David Mitchell,Length: 11 hrs and 39 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Dungeon Anarchist's Cookbook,Matt Dinniman,Length: 16 hrs and 54 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Burnout,Sophie Kinsella,Length: 12 hrs and 20 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
P.G. Wodehouse Volume 1,P.G. Wodehouse,Length: 40 hrs and 37 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Tale of Peter Rabbit and Other Stories,Beatrix Potter,Length: 8 hrs and 40 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
My Secret Portal to a Fantasy World 4,D. Levesque,Length: 10 hrs and 4 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Monster Collection,"Mary Shelley,Bram Stoker,Robert Louis Stevenson,Maria Mellins,Peter Howell",Length: 30 hrs and 25 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Protocols,Andrew Huberman,Length: Not Yet Known,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
"Reality, Art and Illusion",Alan Watts,Length: 3 hrs and 30 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Angel Maker,Morgan Greene,Length: 11 hrs and 49 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Beat Goes On,Ian Rankin,Length: 20 hrs and 27 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Life We Bury,Allen Eskens,Length: 8 hrs and 23 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
This Inevitable Ruin,Matt Dinniman,Length: 28 hrs and 40 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Book Therapy,C. K. Elim,Length: 4 hrs and 31 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Why We Sleep,Matthew Walker,Length: 13 hrs and 31 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Woman in White,Wilkie Collins,Length: 24 hrs and 37 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Equal & Opposite,Dan Willis,Length: 11 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Mage Academy 4,Kal Griffith,Length: 10 hrs and 25 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Heartless,Casey Kelleher,Length: 8 hrs and 15 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Maze Runner,James Dashner,Length: 10 hrs and 50 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Thursday Murder Club,Richard Osman,Length: 12 hrs and 25 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
French & Saunders Titting About (Series 4),"Dawn French,Jennifer Saunders",Length: 3 hrs and 10 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Kid Normal,"Greg James,Chris Smith",Length: 6 hrs and 21 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Cruise of the Damned,Chris Hilmi,Length: 1 hr and 31 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Man Who Died Twice,Richard Osman,Length: 12 hrs and 30 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
I Escaped from Auschwitz,"Rudolf Vrba,Alan Bestic,Sir Martin Gilbert - foreword,Robin Vrba - editor,Nikola Zimring - editor",Length: 17 hrs and 10 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Bleak House,Charles Dickens,Length: 43 hrs and 12 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Offside,Avery Keelan,Length: 17 hrs and 40 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Married Man,K.L. Slater,Length: 9 hrs and 40 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Mating in Captivity,Esther Perel,Length: 8 hrs and 11 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Ultimate Beginner's Guide to Container and Raised Bed Gardening,Dawning Gayle,Length: 4 hrs and 11 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The House of Doors,Tan Twan Eng,Length: 11 hrs and 15 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Deep End,Ali Hazelwood,Length: 13 hrs and 46 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Isaac Steele and the Forever Man,Daniel Rigby,Length: 7 hrs and 22 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Quicksilver,Callie Hart,Length: 20 hrs and 41 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Stella's Story,Louise Allen,Length: 8 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
North and South,Elizabeth Gaskell,Length: 18 hrs and 20 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Stokesby Grave,David Blake,Length: 6 hrs and 9 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Two Towers,J. R. R. Tolkien,Length: 20 hrs and 47 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Other People's Houses,Clare Mackintosh,Length: 10 hrs and 21 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Take Care,Lindsey Burrow,Length: 8 hrs and 24 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Henry VIII: King and Court,Alison Weir,Length: 25 hrs and 41 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Comeback,Rebecca Jenshak,Length: 10 hrs and 19 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
NIV Audio Bible in One Year Read by David Suchet,New International Version,Length: 86 hrs and 25 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Always a Bridesmaid,"Erin Clark,Laura Lovely",Length: 7 hrs and 7 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Leontus: Lord Solar,Rob Young,Length: 5 hrs and 44 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Champion of the Apocalypse,Benjamin Wallace,Length: 8 hrs and 15 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The Protest,Rob Rinder,Length: Not Yet Known,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Wives and Daughters,Elizabeth Gaskell,Length: 25 hrs and 21 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
A Touch of Darkness,Scarlett St. Clair,Length: 11 hrs and 6 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Emma,Jane Austen,Length: 14 hrs and 45 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Better Man,Isaac Butterfield,Length: 5 hrs and 53 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Dracula,Bram Stoker,Length: 18 hrs and 25 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
Atomic Habits,James Clear,Length: 5 hrs and 35 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
The House in the Woods,Mark Dawson,Length: 9 hrs and 57 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
